# -----------------------------------------------------------------
# Predicted Spectra of IBD Events
# Tabulated Huber 235U reconstructed visible energy spectrum and 
# HFIR-specific components: 28Al, 6He, and Non-equilibrium isotopes). 
# Reactor Exposure: 3426 MW-days
# Data are reported in 32 200keV wide bins from 0.8MeV to 7.2MeV
# -----------------------------------------------------------------

# Bin Center, Combined Counts/bin, Huber U235, 28Al, 6He, Non-Equilibrium
0.900, 690.102, 632.036, 36.194, 5.510, 16.363 
1.100, 994.854, 913.807, 50.248, 8.554, 22.244 
1.300, 1254.155, 1166.421, 52.546, 11.018, 24.171 
1.500, 1447.510, 1370.956, 41.686, 12.507, 22.361 
1.700, 1612.887, 1557.533, 23.675, 13.091, 18.588 
1.900, 1740.939, 1707.051, 7.150, 11.962, 14.775 
2.100, 1841.696, 1819.271, 0.911, 9.040, 12.473 
2.300, 1895.041, 1879.573, 0.024, 4.868, 10.576 
2.500, 1890.953, 1881.864, 0.000, 1.223, 7.866 
2.700, 1860.364, 1855.623, 0.000, 0.066, 4.674 
2.900, 1786.880, 1784.977, 0.000, 0.000, 1.902 
3.100, 1695.685, 1695.330, 0.000, 0.000, 0.355 
3.300, 1576.211, 1576.195, 0.000, 0.000, 0.015 
3.500, 1457.204, 1457.204, 0.000, 0.000, 0.000 
3.700, 1342.722, 1342.722, 0.000, 0.000, 0.000 
3.900, 1226.939, 1226.939, 0.000, 0.000, 0.000 
4.100, 1114.854, 1114.854, 0.000, 0.000, 0.000 
4.300, 1000.917, 1000.916, 0.000, 0.000, 0.000 
4.500, 885.168, 885.168, 0.000, 0.000, 0.000 
4.700, 783.218, 783.217, 0.000, 0.000, 0.000 
4.900, 686.829, 686.828, 0.000, 0.000, 0.000 
5.100, 592.581, 592.581, 0.000, 0.000, 0.000 
5.300, 506.056, 506.055, 0.000, 0.000, 0.000 
5.500, 428.772, 428.771, 0.000, 0.000, 0.000 
5.700, 358.059, 358.059, 0.000, 0.000, 0.000 
5.900, 290.879, 290.879, 0.000, 0.000, 0.000 
6.100, 228.103, 228.103, 0.000, 0.000, 0.000 
6.300, 173.248, 173.248, 0.000, 0.000, 0.000 
6.500, 127.771, 127.771, 0.000, 0.000, 0.000 
6.700, 91.426, 91.426, 0.000, 0.000, 0.000 
6.900, 60.976, 60.976, 0.000, 0.000, 0.000 
7.100, 34.884, 34.884, 0.000, 0.000, 0.000 
