# Huber Tabulated Antineutrino Spectra
# Extracted from PHYSICAL REVIEW C 84, 024617 (2011)
# By Tom Langford, May 24, 2018
# The columns have the following definitions:
#   Enu: Antineutrino energy (bin center) [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
# Enu     dNdE_U235    dNdE_U238   dNdE_Pu239   dNdE_Pu241
1.8  1.555 0.0  1.300 1.448
2.0  1.32  0.0  1.08 1.26
2.25  1.12  0.0  0.92 1.08
2.5  0.915  0.0  0.719 0.894
2.75  0.77  0.0  0.62 0.777
3.0  0.651  0.0  0.515 0.641
3.25  0.553  0.0  0.398 0.536
3.5  0.454  0.0  0.329 0.439
3.75  0.364  0.0  0.261 0.346
4.0  0.294  0.0  0.195 0.282
4.25  0.23  0.0  0.157 0.22
4.5  0.179  0.0  0.113 0.166
4.75  0.138  0.0  0.0833 0.125
5.0  0.11  0.0  0.0613 0.0974
5.25  0.0864  0.0  0.0483 0.0747
5.5  0.0646  0.0  0.0354 0.0558
5.75  0.051  0.0  0.0292 0.0411
6.0  0.0389  0.0  0.0192 0.0305
6.25  0.0287  0.0  0.0128 0.0198
6.5  0.0217  0.0  0.00998 0.0154
6.75  0.0161  0.0  0.00754 0.0109
7.0  0.0114  0.0  0.00498 0.00775
7.25  0.00717  0.0  0.00326 0.00447
7.5  0.00464  0.0  0.00195 0.0029
7.75  0.00297  0.0  0.000847 0.00178
8.0  0.00162  0.0  0.000587 0.00106
8.010 1.432781e-03 3.877471e-03 4.733424e-04 9.232445e-04
8.020 1.392693e-03 3.810679e-03 4.578330e-04 8.996469e-04
8.030 1.353432e-03 3.744872e-03 4.427105e-04 8.765221e-04
8.040 1.314988e-03 3.680038e-03 4.279694e-04 8.538638e-04
8.050 1.277353e-03 3.616165e-03 4.136037e-04 8.316654e-04
8.060 1.240517e-03 3.553240e-03 3.996078e-04 8.099208e-04
8.070 1.204472e-03 3.491253e-03 3.859759e-04 7.886235e-04
8.080 1.169207e-03 3.430192e-03 3.727022e-04 7.677671e-04
8.090 1.134714e-03 3.370045e-03 3.597809e-04 7.473456e-04
8.100 1.100983e-03 3.310801e-03 3.472062e-04 7.273526e-04
8.110 1.068004e-03 3.252449e-03 3.349723e-04 7.077820e-04
8.120 1.035769e-03 3.194978e-03 3.230734e-04 6.886276e-04
8.130 1.004267e-03 3.138377e-03 3.115037e-04 6.698833e-04
8.140 9.734889e-04 3.082635e-03 3.002575e-04 6.515431e-04
8.150 9.434254e-04 3.027742e-03 2.893289e-04 6.336010e-04
8.160 9.140666e-04 2.973686e-03 2.787122e-04 6.160509e-04
8.170 8.854028e-04 2.920457e-03 2.684017e-04 5.988869e-04
8.180 8.574243e-04 2.868044e-03 2.583914e-04 5.821032e-04
8.190 8.301214e-04 2.816438e-03 2.486758e-04 5.656938e-04
8.200 8.034843e-04 2.765628e-03 2.392492e-04 5.496529e-04
8.210 7.775032e-04 2.715604e-03 2.301057e-04 5.339747e-04
8.220 7.521682e-04 2.666356e-03 2.212397e-04 5.186536e-04
8.230 7.274696e-04 2.617874e-03 2.126457e-04 5.036838e-04
8.240 7.033975e-04 2.570147e-03 2.043179e-04 4.890596e-04
8.250 6.799421e-04 2.523168e-03 1.962508e-04 4.747754e-04
8.260 6.570936e-04 2.476925e-03 1.884388e-04 4.608257e-04
8.270 6.348419e-04 2.431409e-03 1.808763e-04 4.472049e-04
8.280 6.131775e-04 2.386611e-03 1.735579e-04 4.339075e-04
8.290 5.920903e-04 2.342521e-03 1.664781e-04 4.209280e-04
8.300 5.715705e-04 2.299131e-03 1.596316e-04 4.082612e-04
8.310 5.516083e-04 2.256431e-03 1.530128e-04 3.959015e-04
8.320 5.321940e-04 2.214411e-03 1.466165e-04 3.838437e-04
8.330 5.133177e-04 2.173064e-03 1.404374e-04 3.720825e-04
8.340 4.949697e-04 2.132379e-03 1.344703e-04 3.606127e-04
8.350 4.771402e-04 2.092349e-03 1.287100e-04 3.494290e-04
8.360 4.598195e-04 2.052965e-03 1.231512e-04 3.385264e-04
8.370 4.429980e-04 2.014218e-03 1.177890e-04 3.278997e-04
8.380 4.266661e-04 1.976099e-03 1.126183e-04 3.175440e-04
8.390 4.108140e-04 1.938600e-03 1.076342e-04 3.074541e-04
8.400 3.954324e-04 1.901713e-03 1.028316e-04 2.976251e-04
8.410 3.805116e-04 1.865429e-03 9.820583e-05 2.880522e-04
8.420 3.660423e-04 1.829741e-03 9.375201e-05 2.787304e-04
8.430 3.520151e-04 1.794640e-03 8.946542e-05 2.696550e-04
8.440 3.384206e-04 1.760118e-03 8.534140e-05 2.608211e-04
8.450 3.252495e-04 1.726167e-03 8.137535e-05 2.522240e-04
