# -----------------------------------------------------------------
# PROSPECT 235U Reconstructed Visible Energy Spectrum
# Reactor Exposure: 3426 MW-days
# Data are reported in 32 200keV wide bins from 0.8MeV to 7.2MeV
# -----------------------------------------------------------------

# Bin Center, Counts/bin, Statistical Uncertainty
0.900, 610.838, 62.558
1.100, 1117.231, 61.590
1.300, 1226.996, 60.716
1.500, 1463.767, 60.257
1.700, 1775.826, 61.112
1.900, 1727.824, 62.915
2.100, 1860.946, 66.836
2.300, 1963.761, 61.776
2.500, 1946.665, 60.634
2.700, 1860.284, 58.023
2.900, 1664.796, 56.545
3.100, 1618.742, 54.661
3.300, 1495.458, 54.513
3.500, 1517.360, 54.029
3.700, 1428.808, 53.932
3.900, 1317.371, 54.126
4.100, 1056.857, 55.941
4.300, 1036.437, 63.454
4.500, 910.520, 69.315
4.700, 840.648, 65.248
4.900, 619.727, 57.612
5.100, 638.127, 52.159
5.300, 505.727, 45.703
5.500, 441.084, 44.083
5.700, 269.239, 39.893
5.900, 227.854, 38.319
6.100, 205.814, 36.838
6.300, 188.110, 36.117
6.500, 165.573, 34.990
6.700, 32.054, 32.810
6.900, 12.872, 31.129
7.100, -69.434, 31.386
